step,x,y,z,rx,ry,rz,gripper
25,0.044297,0.020016,-0.044853,-0.492221,-0.058184,-0.127989,0.0
26,0.007269,0.009228,-0.011803,-0.141359,0.001325,-0.008544,0.0
27,0.003802,0.001748,-0.009402,-0.025867,-0.014087,-0.048467,0.0
28,0.010784,0.017597,-0.046904,-0.031453,-0.010988,-0.057249,0.0
29,0.015001,0.024051,-0.059112,-0.049611,-0.024282,-0.102716,0.0
30,0.00164,0.016091,-0.028629,-0.052875,-0.043342,-0.048296,0.0
31,-0.025879,-0.026398,-0.061491,0.128882,0.081635,-0.104709,0.0
32,-0.03913,-0.039316,-0.075841,0.339177,0.007048,-0.149693,0.0
33,-0.012639,-0.008717,-0.020677,0.090305,0.010895,-0.045288,0.0
34,0.0,-0.0,0.0,0.0,0.0,0.0,1.0
35,0.0,0.0,-0.0,0.0,0.0,-0.0,0.999739
36,-2.3e-05,3.4e-05,-1.8e-05,2.6e-05,4.1e-05,3.8e-05,0.817888
37,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.581863
38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.348944
39,0.005367,0.034771,0.041023,-0.023311,-0.000437,0.040273,0.116025
40,0.013288,0.071061,0.104052,-0.038158,0.024494,0.027425,0.0
41,0.012265,0.100879,0.140535,-0.024752,0.039611,0.076878,0.0
42,0.000958,0.092001,0.147725,-0.015662,-0.024409,0.102093,0.0
43,0.000232,0.024058,0.039439,-0.003515,-0.015203,0.029,0.0
44,-0.001324,0.002772,0.007809,-0.001666,-0.003164,0.009595,-1.0
45,-2.1e-05,3e-05,-1.6e-05,1.7e-05,3.8e-05,4.2e-05,-1.0
46,-2.3e-05,3e-05,-1.8e-05,1.8e-05,4.1e-05,4.1e-05,-0.817888
47,-0.02246,-0.005543,-0.011948,0.015868,-0.015193,-0.045108,-0.584969
48,-0.062407,-0.013091,-0.039407,0.019232,-0.046561,-0.124662,-0.35205
49,-0.021845,-0.002418,-0.013338,0.008186,-0.010726,-0.034156,-0.11913
50,-0.008515,-0.016647,-0.005222,0.07402,-0.031817,-0.068541,0.0
51,-0.038734,-0.057099,-0.047509,0.229989,-0.040679,-0.258621,0.0
52,-0.00684,-0.008987,-0.010993,0.058012,-0.017392,-0.058786,0.0
53,-0.044214,0.023238,-0.056446,0.074304,-0.022029,-0.038034,0.0
54,0.003805,-0.002827,-0.000886,-0.049912,-0.028747,-0.013196,0.0
55,-0.014193,0.013508,-0.027706,0.059543,-0.048926,-0.079671,0.0
56,0.001376,0.000718,0.004106,-0.184372,0.003226,0.071915,0.0
57,-0.009434,0.022268,-0.005876,-0.310493,0.031003,0.16277,0.0
58,-0.003718,0.007007,-0.002428,-0.086758,0.012009,0.044411,0.0
59,-0.014064,0.026543,-0.030077,-0.056572,0.030599,0.036009,0.0
60,-0.029918,0.036638,-0.044434,-0.131016,0.05378,0.072795,0.0
61,-0.008167,0.008536,-0.01071,-0.03375,0.014874,0.017581,0.0
62,-0.008051,-0.017564,-0.018771,-0.049903,0.003248,-0.043033,0.0
63,-0.028919,-0.036898,-0.031944,-0.062777,0.026048,-0.095154,0.0
64,0.007576,0.002555,-0.025639,-0.111288,0.183347,0.006089,0.0
65,-0.009349,0.001075,-0.068554,-0.007786,0.260126,-0.045555,0.0
66,-5e-06,2.2e-05,2.2e-05,1.4e-05,4e-06,4.1e-05,1.0
67,0.0,0.0,-0.0,0.0,0.0,0.0,0.999739
68,-0.005965,0.00875,0.027286,0.013149,-0.037777,-0.021988,0.820994
69,-0.019006,0.048212,0.100745,-0.04295,-0.14927,-0.008043,0.581863
70,-0.03635,0.088337,0.155751,-0.072872,-0.2364,0.032545,0.348944
71,-0.046411,0.105471,0.192292,-0.103317,-0.328986,0.069334,0.125342
72,-0.051155,0.120445,0.215838,-0.107771,-0.382154,0.110752,0.0
73,-0.04324,0.121741,0.227105,-0.112069,-0.402198,0.128629,0.0
74,-0.05969,-0.003934,0.167322,0.075331,-0.346993,0.057697,0.0
75,-0.03203,0.009937,0.031797,0.018147,-0.044648,0.027504,0.0
76,0.007199,-0.044662,0.046907,-0.040546,-0.114763,-0.105445,0.0
77,0.009845,-0.10824,0.153015,-0.119541,-0.319901,-0.214463,0.0
78,-0.001748,-0.139172,0.184496,-0.140087,-0.338398,-0.065324,0.0
79,0.000579,-0.041625,0.046642,-0.045997,-0.096838,-0.017735,0.0
80,0.012034,-0.00419,0.02494,-0.010238,-0.057428,0.002908,0.0
81,0.036378,-0.023606,0.037404,-0.021472,-0.076513,-0.030186,0.0
82,0.089724,-0.037146,0.10219,-0.049554,-0.152586,0.011321,0.0
83,0.123016,-0.02928,0.152839,-0.097112,-0.206494,0.038584,0.0
84,0.034866,-0.005918,0.04362,-0.030492,-0.055547,0.014306,0.0
85,-0.003351,0.031048,0.073371,-0.216098,-0.068195,0.058475,0.0
86,-0.021989,0.065496,0.17209,-0.357261,-0.22987,0.106694,0.0
87,-0.032817,0.055234,0.255504,-0.230007,-0.450439,0.173286,0.0
88,-0.009383,0.018341,0.061704,-0.042085,-0.104881,0.056577,0.0
89,0.019316,-0.018132,0.053244,-0.05282,-0.117086,-0.024302,0.0
90,0.095552,-0.06098,0.096936,-0.075328,-0.180395,-0.062588,0.0
91,0.139057,-0.065542,0.173296,-0.098677,-0.341276,-0.06828,0.0
92,0.040276,-0.01848,0.050819,-0.025215,-0.103557,-0.020902,0.0
93,0.092241,-0.014309,0.027164,-0.123878,-0.017658,0.030128,0.0
94,0.17361,-0.00521,0.041279,-0.355711,0.178124,0.178229,0.0
95,0.037236,0.007244,0.007101,-0.031404,0.011874,0.032134,0.0
96,0.009358,0.014981,0.012259,-0.013721,0.006488,0.054375,0.0
97,0.015712,-0.020679,0.008059,0.028863,0.062202,0.054825,0.0
98,0.062657,-0.081368,0.029193,0.155017,0.186053,0.233594,0.0
99,0.087147,-0.107746,0.037485,0.045307,0.277945,0.259199,0.0
100,0.048352,-0.040576,-0.010209,-0.076758,0.22825,0.121611,0.0
101,0.074703,-0.06125,-0.015165,-0.06241,0.359709,0.195305,0.0
102,0.063962,-0.046535,-0.033118,-0.013613,0.353504,0.228,0.0
103,0.018579,-0.020744,-0.02635,-0.000958,0.08901,0.013653,0.0
104,0.001731,0.023304,0.006426,-0.003212,0.010138,0.077684,0.0
105,-0.000793,0.008558,-0.053218,0.078971,0.124033,0.032316,0.0
106,-0.007627,0.020568,-0.074956,0.069551,0.21624,0.085668,0.0
107,-0.002742,0.008411,-0.022647,0.015079,0.064466,0.028697,-1.0
108,-0.000803,0.00155,-0.002225,-0.000121,0.00583,0.005259,-0.999739
109,0.0,0.0,0.0,0.0,0.0,-0.0,-0.814783
110,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.581863
111,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.348944
112,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.116025
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
